className,technology,travel,sport,society,"uk news","world news",books,environment,politics,business,"us news",fashion,culture,opinion,"television & radio","life and style","art and design",football,film,science
technology,0,684.27260649539,452.18690825808,396.09468564978,349.77993081365,354.57862315712,404.27342232702,359.94582925768,476.45146657346,381.67656464604,386.83717504914,432.41877850066,373.30684429836,459.33647797666,464.78166917382,390.85675125294,345.65155865409,565.33529873872,439.98977260841,309.92579757097
travel,684.27260649539,0,626.45510613291,732.00819667542,781.12418986996,757.6192975367,574.03484214811,624.55103874703,792.7603673242,651.41384695138,772.7379892305,605.31066403955,556.77015006194,612.61162248198,562.00088967901,536.47553532291,627.88056189056,732.92223325534,592.71915778048,637.77817460305
sport,452.18690825808,626.45510613291,0,515.59674164991,537.73506487861,527.78499410271,448.53762383996,465.33643742995,564.30576817892,456.68150827464,529.21640186222,458.05130716984,411.9672317066,465.30097786272,421.04275317359,420.83013200102,466.65190452842,407.17686574755,432.30776074459,437.43913862388
society,396.09468564978,732.00819667542,515.59674164991,0,403.15133634902,410.51309357924,488.70645586078,417.41346408567,442.24088458667,415.20838141829,441.61521712912,545.25498622204,473.00634245219,479.81558957583,545.58867290295,487.8790833803,472.04237097956,615.94723800014,547.98175152098,434.28677161525
"uk news",349.77993081365,781.12418986996,537.73506487861,403.15133634902,0,261.14746791803,496.01310466559,451.86834365775,473.16593283963,490.69644384283,358.91642481224,541.58655817884,454.65591385134,573.84841203928,564.260578102,500.18296652325,392.46018906381,620.72538211354,546.24445077273,407.93381816172
"world news",354.57862315712,757.6192975367,527.78499410271,410.51309357924,261.14746791803,0,472.51137552444,427.47748478721,450.40870329069,472.62141297237,307.46219279775,537.89590070942,452.35826509527,514.95825073495,556.02877623375,501.05788088803,398.67656063531,611.04500652571,536.99813779938,410.38518491778
books,404.27342232702,574.03484214811,448.53762383996,488.70645586078,496.01310466559,472.51137552444,0,404.92715394253,539.88980357106,439.0444168874,483.53076427462,398.90976423246,301.29221695889,382.21852388392,366.59378063464,352.46843830335,350.64226784573,579.10534447542,353.65519931142,356.21201551885
environment,359.94582925768,624.55103874703,465.33643742995,417.41346408567,451.86834365775,427.47748478721,404.92715394253,0,488.94682737492,359.80828228377,447.27396526067,458.98910662455,404.79995059288,403.83040994952,483.99070239004,411.24688448668,406.09358527315,590.24655865155,452.45994297838,323.25377027964
politics,476.45146657346,792.7603673242,564.30576817892,442.24088458667,473.16593283963,450.40870329069,539.88980357106,488.94682737492,0,440.81855677818,443.25274956846,603.82116557802,540.30731995782,476.75989764241,603.55447144396,573.45357266304,530.31028653044,656.00457315479,608.97865315625,519.01830410882
business,381.67656464604,651.41384695138,456.68150827464,415.20838141829,490.69644384283,472.62141297237,439.0444168874,359.80828228377,440.81855677818,0,468.28410180146,456.99343540143,438.40962580673,401.53829207188,501.27936322973,441.67635209506,458.21392383907,583.40980451137,469.38257317459,406.97788637713
"us news",386.83717504914,772.7379892305,529.21640186222,441.61521712912,358.91642481224,307.46219279775,483.53076427462,447.27396526067,443.25274956846,468.28410180146,0,551.64934514599,474.16980080979,488.12191100175,553.2296087521,525.0085713586,443.01015789708,623.73151275208,543.87498563549,449.09130474771
fashion,432.41877850066,605.31066403955,458.05130716984,545.25498622204,541.58655817884,537.89590070942,398.90976423246,458.98910662455,603.82116557802,456.99343540143,551.64934514599,0,359.79716508055,456.00877184545,413.69312297886,338.14346067904,386.02720111412,572.72331888967,368.7261856717,396.6081189285
culture,373.30684429836,556.77015006194,411.9672317066,473.00634245219,454.65591385134,452.35826509527,301.29221695889,404.79995059288,540.30731995782,438.40962580673,474.16980080979,359.79716508055,0,415.09276071741,321.07631491594,322.69955066594,285.88634105182,542.87383432986,305.22286939219,341.09822632198
opinion,459.33647797666,612.61162248198,465.30097786272,479.81558957583,573.84841203928,514.95825073495,382.21852388392,403.83040994952,476.75989764241,401.53829207188,488.12191100175,456.00877184545,415.09276071741,0,430.56706794645,431.08351859008,475.92121196685,595.4342952837,440.59845664732,439.14234594263
"television & radio",464.78166917382,562.00088967901,421.04275317359,545.58867290295,564.260578102,556.02877623375,366.59378063464,483.99070239004,603.55447144396,501.27936322973,553.2296087521,413.69312297886,321.07631491594,430.56706794645,0,367.7458361423,431.53794734646,550.52702022698,332.6484630958,430.99187927384
"life and style",390.85675125294,536.47553532291,420.83013200102,487.8790833803,500.18296652325,501.05788088803,352.46843830335,411.24688448668,573.45357266304,441.67635209506,525.0085713586,338.14346067904,322.69955066594,431.08351859008,367.7458361423,0,368.26620806151,546.22614364382,366.52421475259,340.97653878236
"art and design",345.65155865409,627.88056189056,466.65190452842,472.04237097956,392.46018906381,398.67656063531,350.64226784573,406.09358527315,530.31028653044,458.21392383907,443.01015789708,386.02720111412,285.88634105182,475.92121196685,431.53794734646,368.26620806151,0,572.6194198593,381.40791811393,322.16300222093
football,565.33529873872,732.92223325534,407.17686574755,615.94723800014,620.72538211354,611.04500652571,579.10534447542,590.24655865155,656.00457315479,583.40980451137,623.73151275208,572.72331888967,542.87383432986,595.4342952837,550.52702022698,546.22614364382,572.6194198593,0,560.41502478074,561.17555185521
film,439.98977260841,592.71915778048,432.30776074459,547.98175152098,546.24445077273,536.99813779938,353.65519931142,452.45994297838,608.97865315625,469.38257317459,543.87498563549,368.7261856717,305.22286939219,440.59845664732,332.6484630958,366.52421475259,381.40791811393,560.41502478074,0,386.78288483334
science,309.92579757097,637.77817460305,437.43913862388,434.28677161525,407.93381816172,410.38518491778,356.21201551885,323.25377027964,519.01830410882,406.97788637713,449.09130474771,396.6081189285,341.09822632198,439.14234594263,430.99187927384,340.97653878236,322.16300222093,561.17555185521,386.78288483334,0
